,Period,Time,Fx,Fy,Fz,Mx,My,Mz
80,38.0,30.0123507976532,-43.03722416289194,-76.89839887310062,-593.4531525942685,-496.7320441165339,-183.20734837899582,254.21161088290748
81,39.0,30.474385857582092,-47.868522110911975,-82.94038493422168,-625.0495634342716,-249.9185891504583,-265.4705355321063,227.4435774998343
82,4.0,11.792625308036804,-45.24515478307307,-33.08559530492248,-634.9996012593365,-1233.8750694101225,-8.375075229304334,185.86969337732324
83,40.0,30.92445993423462,-43.23088080155636,-81.09518384360086,-624.2940867748476,-233.12446929939372,-257.66417847837323,240.60171664599352
84,41.0,31.385051727294922,-44.96818957040177,-78.0824425095906,-586.246556806832,-459.6193246149084,-223.91275343037148,246.77437013996922
85,42.0,31.855072259902954,-37.75659121770465,-75.46509976494723,-592.4531111030278,-357.8313733388194,-147.71039822216184,217.66881726880422
86,43.0,32.29956936836243,-52.52535280766271,-92.51012368840806,-639.4864401009077,-98.161932059413,-356.7059191246785,118.21478128086324
87,44.0,32.73263132572174,-49.06448208306522,-91.45479167715504,-592.5588679188298,-156.67729695678946,-300.09145019602437,124.05371799714037
88,45.0,33.16667330265045,-46.919156596000015,-90.76810512829702,-619.2214770382693,-229.1714426424149,-247.69128331892156,217.5294867249838
89,46.0,33.61216711997986,-34.463443878113814,-78.7510132297639,-564.6493155912142,-334.2651608897249,-237.57770745942508,220.86671531700006
90,47.0,34.056668400764465,-48.63643085618325,-92.35267493258289,-637.18237180473,-55.841026490415615,-294.1344486121101,153.71029570135673
91,48.0,34.50087308883667,-39.2189787854372,-83.92511931295824,-568.39231242679,-152.88021925866764,-243.58258910747833,174.6524801143965
92,49.0,34.956936717033386,-47.344422837492914,-90.85880365433297,-589.5154888339355,-171.17600388557653,-282.1525905620985,209.19269942845696
93,5.0,12.442620038986206,-48.79700927814756,-36.809367538540236,-658.7659290297812,-1176.8595072064547,-10.083835068137782,167.82552405734552
94,50.0,35.376837372779846,-54.198189282501296,-100.43054837260273,-624.5118371845716,-38.29433428405915,-419.32143305809615,175.8123006036268
95,51.0,35.797500014305115,-37.551726214411154,-93.9564321374469,-550.6598539819985,49.586100804672085,-442.13079229641403,244.2719508513114
96,52.0,36.217448472976685,-50.30498764643778,-101.65609584700346,-615.0555265798027,-29.920455627675594,-441.489569277335,204.9200367051933
97,53.0,36.63488495349884,-41.29088781861405,-95.48122116306126,-559.7962346241682,5.1910084270380645,-420.838858631311,170.89408034451188
98,54.0,37.075942516326904,-41.24912066356262,-97.9136448328283,-572.7768303358941,146.45830456049507,-385.35560830957576,204.09088123461467
99,55.0,37.503925919532776,-47.667448018629855,-102.2999183722574,-608.2851449632551,221.66546387086967,-511.88379718552176,161.7519754123839
100,56.0,37.917473673820496,-48.29133854909,-99.36854877899651,-617.4363877978983,127.84808514209976,-506.5785388913291,126.75362539781136
